Dataset 1,Dataset 2,Mixture 1,Mixture 2,Experimental Values,label
Snitz 2,Snitz 2,1.0,2.0,0.571079232,1
Snitz 2,Snitz 2,1.0,3.0,0.617074811,2
Snitz 2,Snitz 2,1.0,4.0,0.417794564,3
Snitz 2,Snitz 2,1.0,5.0,0.365823651,4
Snitz 2,Snitz 2,1.0,6.0,0.554831352,5
Snitz 2,Snitz 2,1.0,9.0,0.531256662,6
Snitz 2,Snitz 2,1.0,10.0,0.629883689,7
DA,Snitz 2,1.0,10.0,0.629883689,7
Snitz 2,DA,1.0,2.0,0.629883689,7
DA,DA,1.0,2.0,0.629883689,7
Snitz 2,Snitz 2,2.0,3.0,0.521107479,8
DA,Snitz 2,3.0,3.0,0.521107479,8
Snitz 2,DA,2.0,4.0,0.521107479,8
DA,DA,3.0,4.0,0.521107479,8
Snitz 2,Snitz 2,2.0,5.0,0.431679374,9
Snitz 2,Snitz 2,2.0,6.0,0.688897466,10
DA,Snitz 2,5.0,6.0,0.688897466,10
Snitz 2,DA,2.0,6.0,0.688897466,10
DA,DA,5.0,6.0,0.688897466,10
Snitz 2,Snitz 2,2.0,7.0,0.434875161,11
Snitz 2,Snitz 2,2.0,9.0,0.435297988,12
DA,Snitz 2,7.0,9.0,0.435297988,12
Snitz 2,DA,2.0,8.0,0.435297988,12
DA,DA,7.0,8.0,0.435297988,12
Snitz 2,Snitz 2,2.0,10.0,0.409498442,13
Snitz 2,Snitz 2,2.0,14.0,0.353717605,14
Snitz 2,Snitz 2,3.0,10.0,0.55311862,15
Snitz 2,Snitz 2,3.0,11.0,0.496331653,16
Snitz 2,Snitz 2,3.0,12.0,0.706568159,17
Snitz 2,Snitz 2,3.0,13.0,0.581259278,18
Snitz 2,Snitz 2,3.0,14.0,0.516065325,19
Snitz 2,Snitz 2,4.0,5.0,0.289236253,20
Snitz 2,Snitz 2,4.0,8.0,0.483749082,21
Snitz 2,Snitz 2,4.0,11.0,0.573445625,22
Snitz 2,Snitz 2,4.0,13.0,0.622244157,23
Snitz 2,Snitz 2,4.0,14.0,0.369436836,24
Snitz 2,Snitz 2,5.0,3.0,0.403165774,25
Snitz 2,Snitz 2,5.0,6.0,0.702678919,26
Snitz 2,Snitz 2,5.0,7.0,0.377680188,27
Snitz 2,Snitz 2,5.0,8.0,0.523572917,28
Snitz 2,Snitz 2,5.0,10.0,0.524793971,29
Snitz 2,Snitz 2,5.0,11.0,0.444452165,30
Snitz 2,Snitz 2,5.0,13.0,0.623722766,31
Snitz 2,Snitz 2,5.0,14.0,0.434726288,32
Snitz 2,Snitz 2,6.0,3.0,0.648905326,33
DA,Snitz 2,9.0,3.0,0.648905326,33
Snitz 2,DA,6.0,10.0,0.648905326,33
DA,DA,9.0,10.0,0.648905326,33
Snitz 2,Snitz 2,6.0,4.0,0.718496654,34
Snitz 2,Snitz 2,6.0,9.0,0.722060567,35
Snitz 2,Snitz 2,6.0,10.0,0.715333919,36
Snitz 2,Snitz 2,6.0,11.0,0.62178788,37
DA,Snitz 2,11.0,11.0,0.62178788,37
Snitz 2,DA,6.0,12.0,0.62178788,37
DA,DA,11.0,12.0,0.62178788,37
Snitz 2,Snitz 2,7.0,1.0,0.641323935,38
Snitz 2,Snitz 2,7.0,3.0,0.464489509,39
Snitz 2,Snitz 2,7.0,4.0,0.385388532,40
Snitz 2,Snitz 2,7.0,8.0,0.611684523,41
DA,Snitz 2,13.0,8.0,0.611684523,41
Snitz 2,DA,7.0,14.0,0.611684523,41
DA,DA,13.0,14.0,0.611684523,41
Snitz 2,Snitz 2,7.0,9.0,0.41743823,42
Snitz 2,Snitz 2,7.0,10.0,0.499030847,43
DA,Snitz 2,15.0,10.0,0.499030847,43
Snitz 2,DA,7.0,16.0,0.499030847,43
DA,DA,15.0,16.0,0.499030847,43
Snitz 2,Snitz 2,7.0,11.0,0.344029083,44
Snitz 2,Snitz 2,8.0,2.0,0.548093475,45
Snitz 2,Snitz 2,8.0,3.0,0.493943735,46
DA,Snitz 2,17.0,3.0,0.493943735,46
Snitz 2,DA,8.0,18.0,0.493943735,46
DA,DA,17.0,18.0,0.493943735,46
Snitz 2,Snitz 2,8.0,6.0,0.699666352,47
Snitz 2,Snitz 2,8.0,9.0,0.441539564,48
DA,Snitz 2,19.0,9.0,0.441539564,48
Snitz 2,DA,8.0,20.0,0.441539564,48
DA,DA,19.0,20.0,0.441539564,48
Snitz 2,Snitz 2,8.0,10.0,0.537752536,49
Snitz 2,Snitz 2,8.0,12.0,0.75005623,50
Snitz 2,Snitz 2,8.0,13.0,0.766438661,51
DA,Snitz 2,21.0,13.0,0.766438661,51
Snitz 2,DA,8.0,22.0,0.766438661,51
DA,DA,21.0,22.0,0.766438661,51
Snitz 2,Snitz 2,8.0,14.0,0.61790083,52
Snitz 2,Snitz 2,9.0,3.0,0.508135923,53
Snitz 2,Snitz 2,9.0,4.0,0.414009564,54
Snitz 2,Snitz 2,9.0,5.0,0.381566352,55
Snitz 2,Snitz 2,9.0,11.0,0.309007512,56
DA,Snitz 2,23.0,11.0,0.309007512,56
Snitz 2,DA,9.0,24.0,0.309007512,56
DA,DA,23.0,24.0,0.309007512,56
Snitz 2,Snitz 2,9.0,12.0,0.699182921,57
Snitz 2,Snitz 2,9.0,13.0,0.582958927,58
Snitz 2,Snitz 2,10.0,4.0,0.399586021,59
Snitz 2,Snitz 2,10.0,9.0,0.483212535,60
Snitz 2,Snitz 2,10.0,11.0,0.540210832,61
Snitz 2,Snitz 2,11.0,1.0,0.379850967,62
Snitz 2,Snitz 2,11.0,8.0,0.519923765,63
DA,Snitz 2,25.0,8.0,0.519923765,63
Snitz 2,DA,11.0,26.0,0.519923765,63
DA,DA,25.0,26.0,0.519923765,63
Snitz 2,Snitz 2,11.0,12.0,0.652060266,64
Snitz 2,Snitz 2,11.0,13.0,0.4955536,65
Snitz 2,Snitz 2,12.0,2.0,0.671511581,66
Snitz 2,Snitz 2,12.0,4.0,0.724689658,67
Snitz 2,Snitz 2,12.0,5.0,0.707735537,68
Snitz 2,Snitz 2,12.0,6.0,0.640651637,69
Snitz 2,Snitz 2,12.0,7.0,0.661498482,70
Snitz 2,Snitz 2,12.0,13.0,0.633933962,71
Snitz 2,Snitz 2,13.0,1.0,0.549520134,72
Snitz 2,Snitz 2,13.0,2.0,0.566943825,73
Snitz 2,Snitz 2,13.0,6.0,0.599266027,74
Snitz 2,Snitz 2,13.0,10.0,0.609489573,75
Snitz 2,Snitz 2,14.0,1.0,0.65665315,76
Snitz 2,Snitz 2,14.0,6.0,0.663165187,77
Snitz 2,Snitz 2,14.0,7.0,0.33198546,78
Snitz 2,Snitz 2,14.0,10.0,0.347093793,79
Snitz 2,Snitz 2,14.0,11.0,0.374876806,80
Snitz 2,Snitz 2,14.0,13.0,0.595095117,81
Snitz 1,Snitz 1,1.0,2.0,0.60416667,82
Snitz 1,Snitz 1,1.0,3.0,0.65104167,83
Snitz 1,Snitz 1,1.0,5.0,0.50520833,84
Snitz 1,Snitz 1,1.0,6.0,0.41145833,85
Snitz 1,Snitz 1,1.0,7.0,0.5625,86
Snitz 1,Snitz 1,3.0,38.0,0.77840909,87
DA,Snitz 1,27.0,38.0,0.77840909,87
Snitz 1,DA,3.0,28.0,0.77840909,87
DA,DA,27.0,28.0,0.77840909,87
Snitz 1,Snitz 1,3.0,39.0,0.77272727,88
DA,Snitz 1,29.0,39.0,0.77272727,88
Snitz 1,DA,3.0,30.0,0.77272727,88
DA,DA,29.0,30.0,0.77272727,88
Snitz 1,Snitz 1,3.0,40.0,0.72727273,89
Snitz 1,Snitz 1,3.0,41.0,0.69318182,90
Snitz 1,Snitz 1,8.0,2.0,0.75520833,91
Snitz 1,Snitz 1,8.0,3.0,0.68489583,92
Snitz 1,Snitz 1,8.0,4.0,0.84895833,93
Snitz 1,Snitz 1,8.0,5.0,0.765625,94
Snitz 1,Snitz 1,8.0,6.0,0.80729167,95
Snitz 1,Snitz 1,8.0,7.0,0.90104167,96
Snitz 1,Snitz 1,9.0,2.0,0.56770833,97
Snitz 1,Snitz 1,9.0,3.0,0.671875,98
Snitz 1,Snitz 1,9.0,4.0,0.42447917,99
Snitz 1,Snitz 1,9.0,5.0,0.390625,100
DA,Snitz 1,31.0,5.0,0.390625,100
Snitz 1,DA,9.0,32.0,0.390625,100
DA,DA,31.0,32.0,0.390625,100
Snitz 1,Snitz 1,9.0,6.0,0.44791667,101
Snitz 1,Snitz 1,9.0,7.0,0.61979167,102
Snitz 1,Snitz 1,10.0,2.0,0.56770833,103
Snitz 1,Snitz 1,10.0,4.0,0.54166667,104
Snitz 1,Snitz 1,10.0,5.0,0.36979167,105
DA,Snitz 1,33.0,5.0,0.36979167,105
Snitz 1,DA,10.0,34.0,0.36979167,105
DA,DA,33.0,34.0,0.36979167,105
