CID,INTENSITY,prediction
62465,60.86351287,"[0.0740738958120346, 0.016000598669052124, 0.026341581717133522, 0.10406758636236191, 0.10794463008642197, 0.23165233433246613, 0.2256697416305542, 0.010389736853539944, 0.018569322302937508, 0.241412952542305, 0.4574861526489258, 0.013619793578982353, 0.08224036544561386, 0.0206681527197361, 0.04196435213088989, 0.12747880816459656, 0.030622726306319237, 0.017746027559041977, 0.49908819794654846, 0.037263114005327225, 0.030043352395296097, 0.13179828226566315, 0.2389003336429596, 0.04561052843928337, 0.09879010915756226, 0.031286224722862244, 0.036099668592214584, 0.057967375963926315, 0.18118330836296082, 0.153898686170578, 0.03408384695649147, 0.04860909655690193, 0.5903016924858093, 0.09020151942968369, 0.11389018595218658, 0.16132143139839172, 0.013919291086494923, 0.06123705953359604, 0.08519981801509857, 0.0506051667034626, 0.09056566655635834, 0.293506383895874, 0.015048431232571602, 0.133761465549469, 0.2687191665172577, 0.2321237027645111, 0.049633510410785675, 0.03953162580728531, 0.03733263537287712, 0.051116783171892166, 0.10868962854146957, 0.06473468244075775, 0.019265996292233467, 0.054848648607730865, 0.03275503218173981, 0.06279176473617554, 0.02911963127553463, 0.014609701931476593, 0.016279121860861778, 0.03394531458616257, 0.03489119932055473, 0.12648136913776398, 0.14955493807792664, 0.06556402891874313, 0.17471808195114136, 0.09514246135950089, 0.031114395707845688, 0.021021263673901558, 0.023628687486052513, 0.03042159415781498, 0.06247783824801445, 0.035007793456315994, 0.03413182497024536, 0.4080595374107361, 0.062089622020721436, 0.021189095452427864, 0.10972566902637482, 0.2522567808628082, 0.6161321401596069, 0.01844591274857521, 0.08320223540067673, 0.12722595036029816, 0.07304362952709198, 0.016251275315880775, 0.03387582674622536, 0.04772472381591797, 0.2940797209739685, 0.0712038055062294, 0.1900268793106079, 0.04982876032590866, 0.05278449505567551, 0.039627157151699066, 0.027771104127168655, 0.024980980902910233, 0.1078169122338295, 0.03961212933063507, 0.014577006921172142, 0.022687748074531555, 0.8895851969718933, 0.050774525851011276, 0.02303512953221798, 0.020548280328512192, 0.02511085942387581, 0.0400506965816021, 0.36020344495773315, 0.22806811332702637, 0.050930190831422806, 0.0408957414329052, 0.04379485175013542, 0.19025731086730957, 0.03830530866980553, 0.09745035320520401, 0.0750596672296524, 0.2206343114376068, 0.224115252494812, 0.7893136143684387, 0.029375821352005005, 0.08579834550619125, 0.06036065146327019, 0.8231726884841919, 0.05341463163495064, 0.04128142446279526, 0.038094379007816315, 0.7867639660835266, 0.14749500155448914, 0.06745970994234085, 0.202063649892807, 0.0192079097032547, 0.0406435951590538, 0.6453930139541626, 0.07508989423513412, 0.07085827738046646, 0.02314355969429016, 0.3098544478416443, 0.042691510170698166, 0.05640610307455063, 0.027728235349059105, 0.6733485460281372]"
5634,44.22753896,"[0.0460432730615139, 0.36124905943870544, 0.0353459008038044, 0.050833962857723236, 0.11185537278652191, 0.19648697972297668, 0.035328563302755356, 0.06966356933116913, 0.09782756865024567, 0.08032776415348053, 0.10975952446460724, 0.07149601727724075, 0.10824737697839737, 0.058458589017391205, 0.06560154259204865, 0.07085742056369781, 0.029627185314893723, 0.09813247621059418, 0.08521022647619247, 0.3239592909812927, 0.10572256147861481, 0.030114442110061646, 0.1616930514574051, 0.045568227767944336, 0.06704666465520859, 0.024570584297180176, 0.3736942708492279, 0.027783844619989395, 0.07191678881645203, 0.07110140472650528, 0.4367485046386719, 0.19482393562793732, 0.055893171578645706, 0.07799708098173141, 0.26720693707466125, 0.032866764813661575, 0.13675756752490997, 0.11580318212509155, 0.033033501356840134, 0.0827297568321228, 0.08149044215679169, 0.4103492200374603, 0.15246009826660156, 0.5093390345573425, 0.17899371683597565, 0.14391548931598663, 0.08351779729127884, 0.8835317492485046, 0.1186165064573288, 0.17396195232868195, 0.2517761290073395, 0.2635534405708313, 0.2701989710330963, 0.4261137843132019, 0.03138613700866699, 0.06796067953109741, 0.07606564462184906, 0.07428550720214844, 0.07462868839502335, 0.15883487462997437, 0.5526584982872009, 0.03606438636779785, 0.10594910383224487, 0.06957633793354034, 0.1519080251455307, 0.19905619323253632, 0.04984298348426819, 0.07953967899084091, 0.11617495119571686, 0.06509213149547577, 0.21065592765808105, 0.07081197202205658, 0.10493304580450058, 0.07446914911270142, 0.10711205005645752, 0.07388699054718018, 0.04696514457464218, 0.24003872275352478, 0.04551892727613449, 0.24699166417121887, 0.16551858186721802, 0.41404739022254944, 0.04112705588340759, 0.08082903176546097, 0.13429249823093414, 0.12068034708499908, 0.18317075073719025, 0.07695552706718445, 0.2191217839717865, 0.09326350688934326, 0.4542725682258606, 0.030796993523836136, 0.2472323179244995, 0.10007230192422867, 0.18920841813087463, 0.10589585453271866, 0.24308395385742188, 0.17479853332042694, 0.06147308275103569, 0.04822532460093498, 0.22856326401233673, 0.09895153343677521, 0.055965356528759, 0.04294378682971001, 0.12360712140798569, 0.09274278581142426, 0.060618676245212555, 0.03103572130203247, 0.06729768216609955, 0.10139022022485733, 0.17784543335437775, 0.08636782318353653, 0.060446374118328094, 0.18640513718128204, 0.12073121964931488, 0.07002098858356476, 0.3550296425819397, 0.04832896590232849, 0.2626253664493561, 0.13285180926322937, 0.049597952514886856, 0.03705057501792908, 0.2502458393573761, 0.4117790758609772, 0.0847928375005722, 0.04466991499066353, 0.10909561812877655, 0.06768226623535156, 0.1250937581062317, 0.07375547289848328, 0.2040650099515915, 0.056013323366642, 0.1250540018081665, 0.08759920299053192, 0.7427541017532349, 0.11004428565502167, 0.15369315445423126, 0.29893025755882263]"
7685,51.23769842,"[0.023321431130170822, 0.06570382416248322, 0.04729320853948593, 0.14921391010284424, 0.09830428659915924, 0.4777246117591858, 0.19644789397716522, 0.13201649487018585, 0.1526043713092804, 0.2342197448015213, 0.1714974343776703, 0.09815847873687744, 0.03560714051127434, 0.0606282539665699, 0.36424684524536133, 0.1318012773990631, 0.13823555409908295, 0.08165620267391205, 0.16668817400932312, 0.11994439363479614, 0.04704689979553223, 0.09219666570425034, 0.15309198200702667, 0.06864402443170547, 0.09238328039646149, 0.09112896025180817, 0.1790584772825241, 0.24541297554969788, 0.1337212175130844, 0.046700235456228256, 0.14552757143974304, 0.08700482547283173, 0.07168643176555634, 0.10967294871807098, 0.08372531831264496, 0.08615570515394211, 0.0350610688328743, 0.1328863501548767, 0.0902157872915268, 0.13939973711967468, 0.1194155216217041, 0.15540200471878052, 0.03425765782594681, 0.11261521279811859, 0.2593325972557068, 0.16778430342674255, 0.08570359647274017, 0.16161751747131348, 0.10115643590688705, 0.0354653000831604, 0.6330550909042358, 0.17197805643081665, 0.10004355758428574, 0.8642412424087524, 0.035848550498485565, 0.03529544919729233, 0.1289534866809845, 0.3287251591682434, 0.13826262950897217, 0.0862831249833107, 0.43933629989624023, 0.15370367467403412, 0.17836371064186096, 0.09407760947942734, 0.22475691139698029, 0.37046557664871216, 0.14834235608577728, 0.26482945680618286, 0.12272985279560089, 0.061144161969423294, 0.07714636623859406, 0.06763262301683426, 0.17362277209758759, 0.16567137837409973, 0.04022298380732536, 0.21357953548431396, 0.04482113942503929, 0.05304642394185066, 0.1797683984041214, 0.17899514734745026, 0.14144526422023773, 0.11306842416524887, 0.14630916714668274, 0.07904944568872452, 0.07606847584247589, 0.17094776034355164, 0.21543927490711212, 0.16565170884132385, 0.20153407752513885, 0.06543536484241486, 0.12234286963939667, 0.03790108487010002, 0.20020326972007751, 0.20901425182819366, 0.11245068162679672, 0.0642823651432991, 0.10555794090032578, 0.06462834775447845, 0.326686292886734, 0.04262617230415344, 0.13189777731895447, 0.23843637108802795, 0.05423490330576897, 0.06219259649515152, 0.2533348500728607, 0.19073110818862915, 0.07094566524028778, 0.21745280921459198, 0.18390636146068573, 0.0915074497461319, 0.20608504116535187, 0.09596803039312363, 0.03680778294801712, 0.0636182650923729, 0.17840400338172913, 0.10246279090642929, 0.0851692259311676, 0.04674050956964493, 0.12969063222408295, 0.1707286536693573, 0.22961373627185822, 0.05600525066256523, 0.13095788657665253, 0.29525208473205566, 0.14343830943107605, 0.03420727327466011, 0.22619815170764923, 0.04821234196424484, 0.2929700016975403, 0.14990301430225372, 0.0831461101770401, 0.09046943485736847, 0.04740234464406967, 0.12878289818763733, 0.1261824071407318, 0.12362600862979889, 0.15739688277244568, 0.18350574374198914]"
1031,39.22971341,"[0.7374845743179321, 0.0537167489528656, 0.056229788810014725, 0.12418651580810547, 0.05178368091583252, 0.08280926942825317, 0.09316376596689224, 0.30032649636268616, 0.1680431067943573, 0.11413480341434479, 0.34340423345565796, 0.3045620918273926, 0.04386629909276962, 0.023206371814012527, 0.13932625949382782, 0.12423586845397949, 0.02796073630452156, 0.2187645435333252, 0.14096078276634216, 0.2053837776184082, 0.04590864107012749, 0.19206055998802185, 0.22046788036823273, 0.034409549087285995, 0.05421539023518562, 0.06222947686910629, 0.14235392212867737, 0.12067500501871109, 0.14818385243415833, 0.047659970819950104, 0.051977504044771194, 0.08529700338840485, 0.039637286216020584, 0.20342621207237244, 0.09548299014568329, 0.09683935344219208, 0.27211636304855347, 0.06861722469329834, 0.09257220476865768, 0.03978325426578522, 0.05038474127650261, 0.18996301293373108, 0.014130903407931328, 0.14869622886180878, 0.07735617458820343, 0.14278925955295563, 0.721122145652771, 0.11234526336193085, 0.6560136079788208, 0.1355951875448227, 0.10464467108249664, 0.1853577345609665, 0.04857272654771805, 0.6275676488876343, 0.03282474726438522, 0.17053920030593872, 0.017059385776519775, 0.1625409573316574, 0.0119659174233675, 0.045047737658023834, 0.08437575399875641, 0.06878278404474258, 0.09920750558376312, 0.04027742147445679, 0.12395384162664413, 0.07800235599279404, 0.06233508512377739, 0.030792778357863426, 0.1161433607339859, 0.1348489671945572, 0.04052169620990753, 0.06569663435220718, 0.058386705815792084, 0.09116671979427338, 0.0278015173971653, 0.02763533964753151, 0.15188725292682648, 0.05307899788022041, 0.22670164704322815, 0.06999988108873367, 0.07699953019618988, 0.13703522086143494, 0.1381761133670807, 0.014812636189162731, 0.10753972828388214, 0.06054272502660751, 0.42213621735572815, 0.03802047297358513, 0.24115166068077087, 0.10357077419757843, 0.4850449562072754, 0.02943311259150505, 0.06429396569728851, 0.02351590059697628, 0.038229770958423615, 0.017191793769598007, 0.05552167445421219, 0.30738216638565063, 0.15835225582122803, 0.05939842015504837, 0.17682120203971863, 0.06876746565103531, 0.02921197935938835, 0.04819481819868088, 0.08362774550914764, 0.39190801978111267, 0.07766404002904892, 0.07659231126308441, 0.24373748898506165, 0.026239359751343727, 0.13864824175834656, 0.40374165773391724, 0.030579600483179092, 0.05199073627591133, 0.26296740770339966, 0.06164931133389473, 0.08532097190618515, 0.6384104490280151, 0.13200806081295013, 0.06710757315158844, 0.09543855488300323, 0.027497952803969383, 0.1839768886566162, 0.875534176826477, 0.04970744252204895, 0.031314533203840256, 0.06419007480144501, 0.05450574681162834, 0.06735791265964508, 0.12484578043222427, 0.10117673873901367, 0.022297050803899765, 0.015044900588691235, 0.12573257088661194, 0.08749396353960037, 0.05736616998910904, 0.5539246201515198, 0.11475132405757904]"
1032,36.41674786,"[0.12211892753839493, 0.03903681039810181, 0.08513961732387543, 0.055760663002729416, 0.02192491665482521, 0.1958310902118683, 0.023207036778330803, 0.055264782160520554, 0.025632742792367935, 0.08839748799800873, 0.04693877696990967, 0.031894419342279434, 0.06126891449093819, 0.01775585301220417, 0.05222039669752121, 0.07875995337963104, 0.02387934736907482, 0.07352431118488312, 0.21768739819526672, 0.36500638723373413, 0.1484394520521164, 0.032439470291137695, 0.3225783407688141, 0.027782896533608437, 0.03323132544755936, 0.040391165763139725, 0.7076226472854614, 0.03326491266489029, 0.08002723753452301, 0.02156326174736023, 0.03697275370359421, 0.1105123981833458, 0.028339004144072533, 0.0949065238237381, 0.07122769206762314, 0.0772780328989029, 0.05728727579116821, 0.15622060000896454, 0.04542074725031853, 0.034436728805303574, 0.02923968993127346, 0.3036451041698456, 0.011770256794989109, 0.42937666177749634, 0.10513833910226822, 0.053561996668577194, 0.2391294687986374, 0.25060784816741943, 0.26674801111221313, 0.09270372241735458, 0.025594333186745644, 0.08418114483356476, 0.059883128851652145, 0.3076063394546509, 0.06018543243408203, 0.0819823294878006, 0.013554809615015984, 0.08839830756187439, 0.01532109547406435, 0.05436602979898453, 0.06609264016151428, 0.030820569023489952, 0.047189392149448395, 0.07170391082763672, 0.028116917237639427, 0.09661038219928741, 0.02162644825875759, 0.019903847947716713, 0.039919428527355194, 0.053557030856609344, 0.07414312660694122, 0.02048853412270546, 0.02180478349328041, 0.0551188699901104, 0.014391188509762287, 0.020675694569945335, 0.10876403003931046, 0.126820906996727, 0.07954540848731995, 0.04358919709920883, 0.05961807444691658, 0.39421194791793823, 0.042908135801553726, 0.017895156517624855, 0.057597626000642776, 0.07873956114053726, 0.14941565692424774, 0.023486802354454994, 0.16015218198299408, 0.39428502321243286, 0.1579231470823288, 0.04500490427017212, 0.02593907341361046, 0.02518201246857643, 0.03443431481719017, 0.020118732005357742, 0.0333610475063324, 0.030391642823815346, 0.11311215162277222, 0.019444787874817848, 0.0652390569448471, 0.04930676147341728, 0.06496721506118774, 0.057112254202365875, 0.038933850824832916, 0.5097742080688477, 0.09165214002132416, 0.02485300786793232, 0.18689733743667603, 0.16233417391777039, 0.013040075078606606, 0.14265094697475433, 0.019708797335624695, 0.14704462885856628, 0.527112603187561, 0.06170874834060669, 0.06122327968478203, 0.12270534038543701, 0.7510665655136108, 0.05598018690943718, 0.06752217561006546, 0.12431520223617554, 0.4216342866420746, 0.0957687720656395, 0.03613554686307907, 0.016584128141403198, 0.0851086974143982, 0.06530266255140305, 0.08468987792730331, 0.0721326470375061, 0.11236850172281265, 0.02812783047556877, 0.011581029742956161, 0.0798228532075882, 0.10452891886234283, 0.033649638295173645, 0.16919931769371033, 0.03592892736196518]"
31244,61.82568494,"[0.04663706570863724, 0.08798079192638397, 0.024383310228586197, 0.6569262742996216, 0.09248331934213638, 0.11687632650136948, 0.7248177528381348, 0.037174683064222336, 0.05786552280187607, 0.4288647770881653, 0.44846096634864807, 0.0545150525867939, 0.035215385258197784, 0.028851529583334923, 0.15310215950012207, 0.4874771237373352, 0.04320216923952103, 0.027971316128969193, 0.11129023879766464, 0.08212252706289291, 0.016158802434802055, 0.13561341166496277, 0.11964929103851318, 0.024387415498495102, 0.09896526485681534, 0.059846967458724976, 0.031574372202157974, 0.7182145714759827, 0.20211026072502136, 0.5107547044754028, 0.040039680898189545, 0.04935469105839729, 0.2193237990140915, 0.15502305328845978, 0.16095206141471863, 0.06017696112394333, 0.026180529966950417, 0.040718771517276764, 0.12016068398952484, 0.16008682548999786, 0.44045838713645935, 0.27449682354927063, 0.018171537667512894, 0.056247394531965256, 0.15685530006885529, 0.1747708022594452, 0.10037408024072647, 0.02832494117319584, 0.05659465119242668, 0.02482190728187561, 0.7886585593223572, 0.13668769598007202, 0.025176946073770523, 0.5451084971427917, 0.014874612912535667, 0.053846873342990875, 0.07042841613292694, 0.07719264179468155, 0.02363167516887188, 0.04595110937952995, 0.187936469912529, 0.5725826025009155, 0.4796452522277832, 0.046312324702739716, 0.5535014271736145, 0.23993654549121857, 0.22590823471546173, 0.11407463252544403, 0.03468316048383713, 0.01977129839360714, 0.10237977653741837, 0.060471583157777786, 0.06710254400968552, 0.12322933971881866, 0.039851170033216476, 0.06412549316883087, 0.05916428565979004, 0.03112984262406826, 0.2837628424167633, 0.09819979965686798, 0.11403065919876099, 0.0826432928442955, 0.16887620091438293, 0.02599240466952324, 0.061133719980716705, 0.03659965470433235, 0.2469114512205124, 0.06319316476583481, 0.3814222812652588, 0.024287739768624306, 0.14496596157550812, 0.01898122951388359, 0.12204041332006454, 0.12291065603494644, 0.06528965383768082, 0.06275014579296112, 0.04796518012881279, 0.036541588604450226, 0.4279971122741699, 0.03790576010942459, 0.03767889738082886, 0.11347854137420654, 0.03519364073872566, 0.025549422949552536, 0.6156436800956726, 0.2211204469203949, 0.07483725249767303, 0.11576652526855469, 0.04234763979911804, 0.04779667407274246, 0.1542232781648636, 0.12197359651327133, 0.05141680687665939, 0.039602819830179214, 0.24755525588989258, 0.17886677384376526, 0.0398196280002594, 0.055110614746809006, 0.0517098531126976, 0.6017305254936218, 0.10545897483825684, 0.011072160676121712, 0.017351631075143814, 0.9597233533859253, 0.16821467876434326, 0.0348641462624073, 0.19718468189239502, 0.019301535561680794, 0.11861884593963623, 0.679031491279602, 0.060703545808792114, 0.024366270750761032, 0.040443532168865204, 0.3559126853942871, 0.04547624662518501, 0.08252812922000885, 0.10569693893194199, 0.29684004187583923]"
527,37.90413775,"[0.5825485587120056, 0.47874242067337036, 0.33577731251716614, 0.3516562879085541, 0.05875900387763977, 0.07964962720870972, 0.2006923407316208, 0.31556883454322815, 0.07782386243343353, 0.19263605773448944, 0.08198784291744232, 0.2224171906709671, 0.1331932544708252, 0.06830408424139023, 0.21440836787223816, 0.21753434836864471, 0.08135119825601578, 0.3291977643966675, 0.25325050950050354, 0.1741628348827362, 0.13659559190273285, 0.16301347315311432, 0.15709355473518372, 0.056574344635009766, 0.08891947567462921, 0.12654972076416016, 0.2559385597705841, 0.27317550778388977, 0.45974302291870117, 0.08714758604764938, 0.13730449974536896, 0.14557024836540222, 0.05830337852239609, 0.5389625430107117, 0.06164494901895523, 0.22673554718494415, 0.45014628767967224, 0.1584988832473755, 0.10443367063999176, 0.25416135787963867, 0.055953074246644974, 0.139827698469162, 0.11495564132928848, 0.15612652897834778, 0.14172765612602234, 0.35925164818763733, 0.7465344667434692, 0.24257031083106995, 0.48164576292037964, 0.16881687939167023, 0.3309028744697571, 0.5282841920852661, 0.09847535192966461, 0.664594292640686, 0.10971726477146149, 0.3621711730957031, 0.1202317625284195, 0.20014028251171112, 0.04675378277897835, 0.27173227071762085, 0.7542034387588501, 0.12210547924041748, 0.15341445803642273, 0.1517767608165741, 0.20001406967639923, 0.1421421468257904, 0.25241345167160034, 0.06985701620578766, 0.16527505218982697, 0.13068027794361115, 0.03861319273710251, 0.11904998123645782, 0.2602270245552063, 0.11055111885070801, 0.07646062225103378, 0.11477892100811005, 0.37918010354042053, 0.23377689719200134, 0.23965215682983398, 0.18625864386558533, 0.15936094522476196, 0.12175045162439346, 0.10901707410812378, 0.0936431959271431, 0.1385716199874878, 0.052272580564022064, 0.4160965383052826, 0.13780206441879272, 0.6012659072875977, 0.11968739330768585, 0.19139906764030457, 0.11113356053829193, 0.16350246965885162, 0.07159800827503204, 0.09512605518102646, 0.1349661946296692, 0.06285345554351807, 0.14107057452201843, 0.26402193307876587, 0.08549591898918152, 0.08977095037698746, 0.1701328009366989, 0.10543455183506012, 0.19800588488578796, 0.1370968073606491, 0.7054241895675659, 0.2082788646221161, 0.08235826343297958, 0.2025705873966217, 0.16961093246936798, 0.16229578852653503, 0.38724714517593384, 0.04255868121981621, 0.0893024355173111, 0.44961100816726685, 0.10428948700428009, 0.11906657367944717, 0.2705532908439636, 0.15599259734153748, 0.16613173484802246, 0.09483285248279572, 0.08337579667568207, 0.22617177665233612, 0.19809719920158386, 0.08888383954763412, 0.08675172179937363, 0.07284105569124222, 0.26897794008255005, 0.11099965870380402, 0.11095333099365234, 0.3400655686855316, 0.0812976211309433, 0.09355054050683975, 0.18100185692310333, 0.08866756409406662, 0.1931465119123459, 0.4520653188228607, 0.18724562227725983]"
31249,43.1884141,"[0.1933458298444748, 0.07333271205425262, 0.08578813076019287, 0.0585901215672493, 0.053052861243486404, 0.09835229814052582, 0.10103026777505875, 0.6296058893203735, 0.18244127929210663, 0.10364749282598495, 0.09356625378131866, 0.2708316743373871, 0.03484184667468071, 0.05933496356010437, 0.20135164260864258, 0.08492939174175262, 0.06393953412771225, 0.3167581856250763, 0.18041405081748962, 0.2687085270881653, 0.05714922025799751, 0.052013397216796875, 0.3722130358219147, 0.053239606320858, 0.08803954720497131, 0.17194029688835144, 0.13491705060005188, 0.11400844901800156, 0.06510845571756363, 0.052829641848802567, 0.20238807797431946, 0.15318095684051514, 0.05048661306500435, 0.09557754546403885, 0.09291554987430573, 0.06200417876243591, 0.3031638264656067, 0.11600687354803085, 0.09508810192346573, 0.09530607610940933, 0.044448208063840866, 0.23186281323432922, 0.046316713094711304, 0.15123964846134186, 0.12681271135807037, 0.12740293145179749, 0.4699941575527191, 0.3212997317314148, 0.36053967475891113, 0.05573192983865738, 0.24740226566791534, 0.29586881399154663, 0.2345050573348999, 0.8965562582015991, 0.04729021340608597, 0.06280852854251862, 0.04651382938027382, 0.25725775957107544, 0.04004741460084915, 0.11294122785329819, 0.6433361768722534, 0.043472301214933395, 0.09665264934301376, 0.05218978598713875, 0.3257722556591034, 0.14047102630138397, 0.07872903347015381, 0.12038552761077881, 0.16710631549358368, 0.05622260645031929, 0.09364843368530273, 0.07432639598846436, 0.13018374145030975, 0.04607963562011719, 0.04611712321639061, 0.05792819336056709, 0.08049305528402328, 0.04542849212884903, 0.058730341494083405, 0.21941912174224854, 0.11863799393177032, 0.12568356096744537, 0.07264690101146698, 0.0458967387676239, 0.08442024886608124, 0.1382293999195099, 0.1417427808046341, 0.10228000581264496, 0.17671892046928406, 0.10978245735168457, 0.3606715798377991, 0.05025507137179375, 0.10336897522211075, 0.046311672776937485, 0.07589085400104523, 0.036916933953762054, 0.1495368778705597, 0.21762588620185852, 0.07511373609304428, 0.09091009199619293, 0.34003812074661255, 0.18637807667255402, 0.04008758068084717, 0.044923026114702225, 0.0771283507347107, 0.1788654774427414, 0.11172699928283691, 0.14654885232448578, 0.17871704697608948, 0.048558205366134644, 0.11986656486988068, 0.3459263741970062, 0.03915005177259445, 0.059361737221479416, 0.20706820487976074, 0.04186437278985977, 0.13962945342063904, 0.21322175860404968, 0.22212517261505127, 0.10284794867038727, 0.18431517481803894, 0.04083641618490219, 0.15706725418567657, 0.5268698930740356, 0.10423195362091064, 0.044424403458833694, 0.09746047109365463, 0.06010115146636963, 0.3061501383781433, 0.07430002838373184, 0.137483149766922, 0.0503305122256279, 0.051787663251161575, 0.13849690556526184, 0.30155882239341736, 0.11933443695306778, 0.6908470392227173, 0.19152651727199554]"
31252,52.75500962,"[0.07544653117656708, 0.03923141211271286, 0.12477920204401016, 0.4538497030735016, 0.08355601131916046, 0.1668628454208374, 0.10869953781366348, 0.03276519849896431, 0.031172538176178932, 0.1617167443037033, 0.06965986639261246, 0.01891670748591423, 0.3613615334033966, 0.03099791146814823, 0.07559338957071304, 0.13759489357471466, 0.07180975377559662, 0.0796484723687172, 0.5300308465957642, 0.1962767243385315, 0.14545348286628723, 0.07671868801116943, 0.3829764723777771, 0.05638706684112549, 0.06760015338659286, 0.049835655838251114, 0.11345746368169785, 0.07557592540979385, 0.6046539545059204, 0.031022191047668457, 0.037091873586177826, 0.06320952624082565, 0.039724476635456085, 0.7450808882713318, 0.05690867453813553, 0.6603976488113403, 0.06270036846399307, 0.25276732444763184, 0.08023084700107574, 0.09290990978479385, 0.09942075610160828, 0.09351798892021179, 0.04391081631183624, 0.0836770236492157, 0.15411369502544403, 0.6231982111930847, 0.20591607689857483, 0.11980243772268295, 0.1487009972333908, 0.2668636441230774, 0.02680925652384758, 0.1135682687163353, 0.05473829433321953, 0.09817133843898773, 0.05736960843205452, 0.08024154603481293, 0.04604993015527725, 0.043224722146987915, 0.02992374263703823, 0.2431703805923462, 0.43059030175209045, 0.08814531564712524, 0.12671039998531342, 0.6847761869430542, 0.10338003933429718, 0.1337183713912964, 0.05515994876623154, 0.032505761831998825, 0.04180954396724701, 0.07904333621263504, 0.05153701826930046, 0.03588537126779556, 0.10534034669399261, 0.15558668971061707, 0.05640019103884697, 0.028889665380120277, 0.16103222966194153, 0.49181991815567017, 0.15017074346542358, 0.03270189091563225, 0.08403851836919785, 0.07356800884008408, 0.14063744246959686, 0.02809813991189003, 0.07636825740337372, 0.07325740903615952, 0.6585249900817871, 0.057584356516599655, 0.8953716158866882, 0.06533878296613693, 0.07052550464868546, 0.09241613000631332, 0.02488238736987114, 0.050507187843322754, 0.052190084010362625, 0.05061037465929985, 0.09847692400217056, 0.028233755379915237, 0.13891449570655823, 0.05202902480959892, 0.193731427192688, 0.03466760367155075, 0.4538038671016693, 0.577593982219696, 0.30306798219680786, 0.12220606952905655, 0.07191047072410583, 0.05727323889732361, 0.0995948389172554, 0.8509928584098816, 0.04232810437679291, 0.10788116604089737, 0.04686173051595688, 0.2004496157169342, 0.07885056734085083, 0.1727130115032196, 0.03836725279688835, 0.10988892614841461, 0.06164342910051346, 0.06504376977682114, 0.06808266788721085, 0.14021021127700806, 0.07263564318418503, 0.19976823031902313, 0.1525849550962448, 0.06556519120931625, 0.17849402129650116, 0.1421642005443573, 0.08215536177158356, 0.13381248712539673, 0.35314488410949707, 0.14241763949394226, 0.06891527771949768, 0.06511964648962021, 0.03719468414783478, 0.07386206835508347, 0.11188950389623642, 0.33790507912635803]"
5283349,62.08921606,"[0.035216256976127625, 0.6036462187767029, 0.048458121716976166, 0.10706403106451035, 0.07597742229700089, 0.06477329879999161, 0.06763153523206711, 0.21582166850566864, 0.07362513244152069, 0.07328509539365768, 0.06868281215429306, 0.16300050914287567, 0.10119656473398209, 0.06651140749454498, 0.0910893902182579, 0.1206253319978714, 0.03645671531558037, 0.06975220143795013, 0.0636814683675766, 0.2716147005558014, 0.0980144739151001, 0.023341452702879906, 0.13334961235523224, 0.02828473225235939, 0.09031172841787338, 0.028195226565003395, 0.17655590176582336, 0.06126634031534195, 0.06638829410076141, 0.19118648767471313, 0.7026289701461792, 0.19993512332439423, 0.07113246619701385, 0.06080826371908188, 0.21606993675231934, 0.033172231167554855, 0.11155519634485245, 0.10772284120321274, 0.023321717977523804, 0.14040201902389526, 0.07972192764282227, 0.31903529167175293, 0.580389142036438, 0.34106189012527466, 0.18356600403785706, 0.22293977439403534, 0.07536212354898453, 0.9252532720565796, 0.05157356336712837, 0.35108280181884766, 0.2768300175666809, 0.4541134834289551, 0.37124529480934143, 0.6403323411941528, 0.03361230343580246, 0.14418187737464905, 0.2407982349395752, 0.05782817676663399, 0.10200881958007812, 0.29064881801605225, 0.7749212384223938, 0.029913216829299927, 0.134062260389328, 0.06272652745246887, 0.3814367949962616, 0.1652170866727829, 0.0797654539346695, 0.0857822448015213, 0.21442241966724396, 0.07772891223430634, 0.1720893681049347, 0.080397829413414, 0.3150942921638489, 0.04311876371502876, 0.2682381570339203, 0.06462042033672333, 0.04656786844134331, 0.21950383484363556, 0.050049107521772385, 0.594964325428009, 0.27906855940818787, 0.25661030411720276, 0.031556256115436554, 0.08000381290912628, 0.25407499074935913, 0.05903465300798416, 0.1472618579864502, 0.12440141290426254, 0.36582356691360474, 0.026914900168776512, 0.5524386167526245, 0.04122837632894516, 0.48580455780029297, 0.104607954621315, 0.21600241959095, 0.19494931399822235, 0.16666042804718018, 0.38089126348495483, 0.05948121100664139, 0.06514304131269455, 0.1369476020336151, 0.11020640283823013, 0.053871333599090576, 0.05447845533490181, 0.1301807463169098, 0.2108069211244583, 0.11675643920898438, 0.03019670583307743, 0.052833616733551025, 0.09154544025659561, 0.14256002008914948, 0.08698888123035431, 0.045226775109767914, 0.12057630717754364, 0.16908197104930878, 0.05132479593157768, 0.30349212884902954, 0.025574330240488052, 0.1010197252035141, 0.36368370056152344, 0.04551060125231743, 0.02832641638815403, 0.129232257604599, 0.44877010583877563, 0.08454736322164536, 0.06823710352182388, 0.056440792977809906, 0.13062067329883575, 0.22552017867565155, 0.07142336666584015, 0.4476662278175354, 0.039721887558698654, 0.33523398637771606, 0.12605765461921692, 0.6980740427970886, 0.14850179851055145, 0.07538636773824692, 0.1517031490802765]"
