mixture_id,Intensities
Snitz 1_1,"[47.88622803, 45.73953193, 58.02777571, 51.23769842, 59.62267212, 60.3600245, 55.29786583, 51.38849123, 53.65731884, 58.87189338]"
Snitz 1_2,"[61.08198948, 52.426179, 57.40243256, 48.89435921, 57.21506651, 58.3392051, 60.34060883, 63.33591285, 56.25057098, 60.2949935]"
Snitz 1_4,"[57.7690685, 52.426179, 59.87709184, 57.40243256, 56.36771811, 48.89435921, 50.60712449, 53.24164788, 67.0583771, 57.21506651, 48.53668158, 58.3392051, 60.34060883, 55.81449629, 23.05575012, 56.2092872, 54.82877317, 62.97552728, 57.68976334, 48.60275636]"
Snitz 1_5,"[54.04042441, 52.426179, 59.87709184, 61.67682969, 57.40243256, 58.19243181, 56.36771811, 48.89435921, 50.60712449, 52.75500962, 67.0583771, 57.21506651, 58.3392051, 60.34060883, 63.33591285, 55.03201346, 59.88999604, 57.09673961, 61.44496572, 56.25057098, 55.81449629, 23.05575012, 56.2092872, 35.49432741, 54.82877317, 58.6835805, 62.97552728, 57.68976334, 49.90606116, 48.60275636]"
Snitz 1_6,"[57.25326379, 57.7690685, 54.04042441, 61.08198948, 52.426179, 59.87709184, 61.67682969, 57.40243256, 58.19243181, 56.36771811, 48.89435921, 43.24368151, 50.60712449, 53.24164788, 52.75500962, 67.0583771, 57.21506651, 57.72094093, 48.53668158, 58.3392051, 60.34060883, 64.98042061, 63.33591285, 55.03201346, 59.88999604, 57.09673961, 61.44496572, 56.25057098, 55.81449629, 23.05575012, 56.2092872, 69.36706607, 35.49432741, 54.82877317, 58.6835805, 60.2949935, 62.97552728, 57.68976334, 49.90606116, 48.60275636]"
Snitz 1_7,"[52.426179, 60.34060883, 55.81449629, 62.97552728]"
Snitz 1_9,"[62.95112328, 47.88622803, 45.73953193, 50.31448701, 23.05038495, 23.05481936, 51.23769842, 60.3600245, 62.08921606, 54.68290549, 64.76946624, 55.29786583, 55.31092518, 57.31259726, 45.90627815, 56.34878391, 53.65731884, 44.22753896, 54.12642172, 58.87189338]"
Snitz 1_10,"[62.95112328, 47.88622803, 43.63433495, 59.05665501, 45.73953193, 50.31448701, 23.05038495, 23.05481936, 58.02777571, 51.23769842, 59.62267212, 60.3600245, 62.08921606, 49.95189478, 54.68290549, 64.76946624, 60.65817432, 55.29786583, 63.70655912, 57.31259726, 45.90627815, 59.08974173, 52.22203237, 51.38849123, 60.99529741, 60.13376532, 56.34878391, 64.0456888, 55.98155601, 58.87189338]"
Snitz 1_11,"[52.22203237, 51.38849123, 60.99529741, 60.13376532, 56.34878391, 53.65731884, 57.98557317, 64.0456888, 55.98155601, 44.22753896, 54.12642172, 58.87189338]"
Snitz 1_12,"[59.62267212, 54.68290549, 55.29786583, 58.87189338]"
Snitz 1_13,"[53.24164788, 54.68290549, 60.34060883, 63.70655912, 55.31092518, 51.38849123, 54.82877317, 58.6835805, 60.2949935, 62.97552728]"
Snitz 1_14,"[57.40243256, 57.21506651, 64.76946624, 55.29786583, 56.46923902, 57.31259726, 56.2092872, 52.22203237, 56.34878391, 53.65731884]"
Snitz 1_16,"[54.04042441, 59.05665501, 57.40243256, 49.95189478, 57.21506651, 57.72094093, 55.03201346, 55.29786583, 55.81449629, 56.46923902, 57.31259726, 35.49432741, 45.90627815, 59.08974173, 58.54399378, 60.13376532, 53.65731884, 57.98557317, 44.22753896, 48.60275636]"
Snitz 1_17,"[62.91985986, 57.7690685, 43.63433495, 59.05665501, 59.87709184, 61.67682969, 23.05481936, 57.40243256, 62.08921606, 57.21506651, 57.72094093, 58.3392051, 64.76946624, 55.03201346, 59.88999604, 55.29786583, 55.81449629, 56.46923902, 57.31259726, 56.2092872, 35.49432741, 59.08974173, 58.54399378, 57.68976334, 56.34878391, 53.65731884, 57.98557317, 64.0456888, 44.22753896, 48.60275636]"
Snitz 1_18,"[62.91985986, 57.25326379, 57.7690685, 54.04042441, 43.63433495, 59.05665501, 59.87709184, 61.67682969, 23.05481936, 57.40243256, 58.02777571, 59.62267212, 62.08921606, 49.95189478, 57.21506651, 57.72094093, 58.3392051, 64.76946624, 55.03201346, 59.88999604, 55.29786583, 55.81449629, 56.46923902, 57.31259726, 56.2092872, 69.36706607, 35.49432741, 45.90627815, 59.08974173, 58.54399378, 52.22203237, 57.68976334, 60.13376532, 56.34878391, 53.65731884, 57.98557317, 64.0456888, 44.22753896, 48.60275636, 54.12642172]"
Snitz 1_19,"[59.62267212, 55.03201346, 55.29786583, 56.2092872]"
Snitz 1_21,"[47.88622803, 45.73953193, 23.05038495, 58.19243181, 51.23769842, 50.60712449, 53.24164788, 48.53668158, 60.34060883, 60.65817432, 61.44496572, 55.95758643, 56.25057098, 63.70655912, 23.05575012, 51.38849123, 58.6835805, 60.2949935, 55.98155601, 58.87189338]"
Snitz 1_22,"[47.88622803, 50.2006041, 45.73953193, 50.31448701, 51.23769842, 60.3600245, 56.36771811, 48.89435921, 43.24368151, 50.60712449, 53.24164788, 52.75500962, 67.0583771, 48.53668158, 64.98042061, 60.65817432, 63.33591285, 57.09673961, 56.25057098, 63.70655912, 55.31092518, 23.05575012, 54.82877317, 58.6835805, 60.2949935, 62.97552728, 60.99529741, 55.98155601, 49.90606116, 58.87189338]"
Snitz 1_23,"[62.95112328, 47.88622803, 50.2006041, 61.08198948, 52.426179, 45.73953193, 50.31448701, 23.05038495, 58.19243181, 51.23769842, 60.3600245, 56.36771811, 48.89435921, 43.24368151, 50.60712449, 53.24164788, 52.75500962, 67.0583771, 54.68290549, 48.53668158, 60.34060883, 64.98042061, 60.65817432, 63.33591285, 57.09673961, 61.44496572, 55.95758643, 56.25057098, 63.70655912, 55.31092518, 23.05575012, 51.38849123, 54.82877317, 58.6835805, 60.2949935, 62.97552728, 60.99529741, 55.98155601, 49.90606116, 58.87189338]"
Snitz 1_24,"[54.68290549, 51.38849123, 60.2949935, 62.97552728]"
Snitz 1_25,"[43.63433495, 50.2006041, 23.05481936, 62.08921606, 55.81449629, 57.31259726, 45.90627815, 54.82877317, 56.34878391, 64.0456888]"
Snitz 1_26,"[62.95112328, 54.04042441, 59.05665501, 51.23769842, 43.24368151, 57.72094093, 60.65817432, 56.46923902, 57.68976334, 48.60275636]"
Snitz 1_28,"[62.95112328, 54.04042441, 52.426179, 23.05038495, 58.02777571, 58.19243181, 51.23769842, 43.24368151, 59.88999604, 61.44496572, 55.29786583, 56.46923902, 58.54399378, 52.22203237, 60.2949935, 60.99529741, 57.68976334, 53.65731884, 44.22753896, 48.60275636]"
Snitz 1_29,"[62.95112328, 54.04042441, 52.426179, 59.87709184, 58.19243181, 51.23769842, 59.62267212, 56.36771811, 43.24368151, 49.95189478, 57.72094093, 61.44496572, 55.29786583, 56.25057098, 63.70655912, 56.46923902, 55.31092518, 23.05575012, 58.54399378, 52.22203237, 60.2949935, 60.99529741, 57.68976334, 60.13376532, 53.65731884, 55.98155601, 49.90606116, 44.22753896, 48.60275636, 58.87189338]"
